what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"6",1584333363986
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1584333363986
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1584333363986
java.specification.name,sysinfo,,,"Java Platform API Specification",1584333363986
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584333363986
java.specification.version,sysinfo,,,"1.6",1584333363986
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1584333363986
java.version,sysinfo,,,"1.6.0_23",1584333363986
java.vm.info,sysinfo,,,"mixed mode",1584333363986
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1584333363986
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1584333363986
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584333363986
java.vm.specification.version,sysinfo,,,"1.0",1584333363986
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1584333363986
java.vm.version,sysinfo,,,"19.0-b09",1584333363986
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1584333364014
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1584333364073
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584333365993
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584333373906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584333387283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584335997253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584336004466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584338331657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584338335346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584338368728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584338382270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584338495464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584338497458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584338499354
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1584338499437
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584338499438
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1584338499698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584338501874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584352826798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584352830875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584359374448
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584359376133
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584359380352
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584359380460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1584359383682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1584359431917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1584359446019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584359462065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584359550253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584359550277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584359557791
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584359572055
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584359572055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584359573553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584360928137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584360931923
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1584364075365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584364075370
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584364075374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1584364078145
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584364079657
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584364079728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584364134253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584364276200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584364276231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584364278687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584364283909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584365449368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584365449401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584365451903
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584365464798
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1584365612380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584365620965
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1584365626051
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1584365626417
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1584365626417
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1584365626418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584365629310
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1584365722751
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1584365722767
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584365724528
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584365744682
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584365744747
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584365977932
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584365978251
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584365979831
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584365979999
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584365980607
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584365980789
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584365981503
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584365981684
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584365982710
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584365982888
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584365984518
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584365991220
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584366092537
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584366092708
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584366098871
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584366908868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584366974368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584366975862
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584367054922
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584367057480
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584367058742
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584367058964
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584367059847
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584367060037
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584367133878
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584367135511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584367136790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584367161205
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584367161221
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584367172315
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584367179717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584367205154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584367258182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584367260611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584367261880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584367261911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584367372775
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584367373057
error,log,,,"Could not save master table to file 'D:\\QuartusProject\\NiosPheripheral\\.metadata\\.plugins\\org.eclipse.core.resources\\.safetable\\org.eclipse.core.resources'.",1584367373215
error,log,,,"Problems saving workspace",1584367381343
error,log,,,"Problems occurred while trying to save the state of the workbench.",1584367381344
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1584367381613
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1584367381613
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1584367381635
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1584367381635
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1584367381635
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1584367381635
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1584367381635
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1584367381635
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1584367381635
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1584367381652
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1584419750379
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1584419750380
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1584419750381
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1584419750381
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1584419750381
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1584419750382
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1584419750382
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1584419750382
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1584419750383
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1584419750383
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1584419750384
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1584419750384
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1584419750404
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1584419750405
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1584419750405
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1584419750406
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1584419750406
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1584419750429
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1584419750430
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1584419750430
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1584419750431
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1584419750432
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1584419750432
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1584419750433
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1584419750433
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1584419750433
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1584419750442
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1584419750442
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1584419750442
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1584419750443
