what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584104165716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104171172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104173491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104189728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104191461
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1584104191757
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1584104193908
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1584104194127
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1584104198737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104216871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104388853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104390378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104416628
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584104416647
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584104418135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104421430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104497329
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584104497348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104502497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104502615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104502618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104503626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104510043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104516769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1584104518253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104520897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104525493
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1584104558377
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584104558420
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1584104560628
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584104560658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104621748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104765411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1584104771730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1584104784231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1584104823291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1584104830155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1584104835424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1584104849117
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584104851430
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1584104858850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104859158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104864399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104870349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584104872029
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1584104872312
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1584104874467
