what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1584020214574
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1584020214574
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1584020214574
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1584020214575
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1584020214575
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1584020214576
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1584020214576
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1584020214577
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1584020214577
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1584020214577
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1584020214577
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1584020214578
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1584020214578
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1584020214578
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1584020214578
os,sysinfo,,,"win32",1584020214580
arch,sysinfo,,,"x86",1584020214580
ws,sysinfo,,,"win32",1584020214580
locale,sysinfo,,,"en_GB",1584020214580
processors,sysinfo,,,"6",1584020214580
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1584020214580
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1584020214580
java.specification.name,sysinfo,,,"Java Platform API Specification",1584020214580
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584020214580
